title,Unnamed: 1,emotion
"We were ready to leave climate summit, negotiator tells BBC",,neutral
Barbara Taylor Bradford: An author of substance,,neutral
"The Papers:  'No more tax rises, insists Reeves' and 'PM in jobs push'",,neutral
‘I had no idea being a social drinker would damage my liver by 31’,,confusion
Menendez brothers' resentencing hearing delayed until January,,neutral
How service charges in flats spiralled out of control,,neutral
Elton John album on hold because he 'can't see',,neutral
"People should intervene if they see women at risk of spiking, minister urges",,neutral
Malaysia government told to return seized LGBT watches,,neutral
£1.25 a night Welsh tourism tax may start in 2027,,neutral
Angela Merkel defends ties with Russia and blocking Ukraine from Nato,,neutral
Davina McCall says 'it's nice to be home' after brain surgery,,neutral
Trump's 'border tsar' vows to cut funding to 'sanctuary' states,,neutral
Pakistan police clash with Imran Khan supporters heading to Islamabad,,neutral
"Reeves My Lips, No New Taxes (On Business)",,neutral
Angela Merkel on Putin’s dog and Trump’s handshake,,neutral
Bethell to bat at three on England Test debut,,neutral
Root 'a rung below' Smith and Kohli - Lehmann,,neutral
General Motors agrees deal to enter F1 in 2026,,neutral
'A huge result' - could West Ham win at Newcastle be turning point for Lopetegui?,,curiosity
'As open as it has ever been' - is this the tightest Premier League?,,curiosity
Salah selfish for contract comments - Carragher,,neutral
Man admits murdering 'defenceless' woman in front of friends,,neutral
Parents question 'flawed' Garda canal death probe,,neutral
Supreme Court to hear case on definition of a woman,,neutral
Rugby club devastated by Storm Bert had no insurance,,neutral
What we know about Israel-Hezbollah ceasefire deal,,neutral
"Israel-Hezbollah ceasefire designed to be permanent, says Biden",,neutral
Israeli anger at 'irresponsible and hasty' ceasefire,,anger
Questions over Hezbollah's future after ceasefire,,neutral
"CCTV shows autistic pupils pushed, pinned to walls and sitting in vomit",,neutral
Mother of child hidden in drawer from birth jailed,,neutral
"Vauxhall owner to close Luton factory, putting 1,100 jobs at risk",,neutral
Five survivors found day after Red Sea tourist boat sinking,,neutral
MPs back plans for phased smoking ban,,neutral
'Hardest decision of my career': MPs wrestle with assisted dying choice,,neutral
UK winner of EuroMillions scoops £177m jackpot,,neutral
UK military join hunt for drones near US airbases,,neutral
One of the US's most wanted men arrested in Wales,,neutral
Storm Conall to bring more rain to parts of England and Wales,,neutral
"Harshita Brella's husband was arrested before, says police watchdog",,neutral
Trump proves he is serious on tariffs - but it's not about trade,,neutral
The Papers: Electric car 'chaos' and Israel-Hezbollah ceasefire,,neutral
Watch: How big is the problem of people not working?,,curiosity
"What is Baller League? Why are KSI, Lineker & Terry involved?",,curiosity
Russian deserter reveals war secrets of guarding nuclear base,,neutral
Mum's tribute to 'beautiful' daughter who died on M5,,admiration
Man arrested over tractor drive through floods,,neutral
No 10 denies Russian claims that expelled UK diplomat was a spy,,neutral
Sharp rise in bathing sites rated unfit for swimming,,disappointment
New Mauritius PM has reservations about UK's Chagos deal,,neutral
Black Friday shoppers warned to be wary of deals,,neutral
Climbing inside a Kelpie's head ,,neutral
"Trump, tariffs and trade wars",,neutral
Angela Merkel on Putin’s dog and Trump’s handshake,,neutral
"'Fragile, frail & weak' - Man City's defensive woes continue",,neutral
Zhang makes maximum 147 break at UK Championship,,neutral
'We know what we're doing' - Stokes on Bethell,,neutral
Fans have a right to express how they feel - Guardiola reacts to boos,,neutral
"Rapper Slowthai raped women after gig, court told",,neutral
Remains exhumed from cemetery in Disappeared search,,neutral
Hospitals inquiry families say safety fears remain,,neutral
'I spent my wedding night gambling away our money',,neutral
Police investigate more people over Al Fayed abuse,,neutral
"Jeremy Bowen: The Lebanon ceasefire is a respite, not a solution for the Middle East",,neutral
Bomb threats made against Trump cabinet nominees,,neutral
Lucy Letby's dad 'made threats' in meetings with hospital CEO,,neutral
MPs to debate petition calling for another election,,neutral
Lyse Doucet: Nowhere else on Earth are so many children fleeing war,,neutral
"Liz Hatton, teen photographer who inspired Kate, dies aged 17",,neutral
Israel to appeal against ICC warrants for Netanyahu and Gallant,,neutral
Ex-PM David Cameron backs assisted dying bill ,,neutral
"Mum told partner 'I'm sick of you hitting me' before suicide, manslaughter trial hears",,sadness
Man arrested after secret filming of women shared on TikTok,,neutral
Fans fume over Jason Donovan Rocky Horror no-show,,neutral
Israelis survey damage and mull return to north as ceasefire begins,,neutral
Displaced Lebanese head for homes as fragile truce appears to hold,,neutral
What we know about Israel-Hezbollah deal,,neutral
The conflict in maps: Ceasefire in effect in Lebanon,,neutral
'You can't wipe out Billingsgate Fish Market overnight',,neutral
The Papers:  'Tories failed on migration' and 'cops target Al Fayed network',,neutral
Diver describes rescuing nephew from capsized Egypt boat ,,neutral
Why India's latest Sun mission finding is crucial for the world,,curiosity
'I found out I lost my Vauxhall job on WhatsApp',,sadness
Protest arrests after seven detained over links to Kurdish rebel group PKK,,neutral
Missing hiker found alive after more than five weeks in wilderness,,neutral
Storm Conall brings more rain as it passes over UK,,neutral
Lib Dem leader Ed Davey in bid for Christmas No 1,,neutral
Watch highlights from Mishal Husain's career as she leaves BBC,,neutral
The Israel-Hezbollah Ceasefire,,neutral
Angela Merkel on Putin’s dog and Trump’s handshake,,neutral
'Something special brewing at Slot's remarkable Liverpool',,neutral
Van Nistelrooy set to be appointed Leicester boss,,neutral
England punish sloppy South Africa to seal T20 series,,neutral
Relentless Liverpool beat Real Madrid in thriller,,neutral
"Rapper's friend raped woman at party, court hears",,neutral
Flights cancelled amid yellow weather warning,,neutral
Car speed limits could be cut but raised for HGVs,,neutral
Fears misinformation behind drop in contraception,,fear
Gregg Wallace 'fascinated by my sex life and made lesbian jokes',,neutral
Kirsty Wark: Gregg Wallace used sexualised language and ‘people were uncomfortable’,,neutral
Starmer says migration 'off the scale' after record high last year,,neutral
"Hope, fear, faith and love: Four people on why assisted dying vote matters",,neutral
Transport secretary pleaded guilty to 2014 work phone incident,,neutral
Man who spied for Russia in UK 'discussed killing journalist',,neutral
Ceasefire largely holds but Israelis near Lebanon border have their doubts,,neutral
Families return to destruction in southern Lebanon,,neutral
Daniel Khalife was a British soldier who spied for Iran and dreamed of fame,,neutral
Putin threatens Kyiv decision-makers after striking energy grid,,neutral
All Scottish pensioners to get winter fuel payment,,neutral
"Baby remains were newborn girl, police say",,neutral
Assisted dying bill: What is in proposed law?,,curiosity
'Hardest decision of my career': MPs wrestle with vote choice,,neutral
Last-minute lobbying ahead of major assisted dying vote,,neutral
How assisted dying has spread across the world and how laws differ,,confusion
"Israel building new military dividing line across Gaza, satellite images suggest",,neutral
How the Republic of Ireland will elect its next parliament,,curiosity
'I sold my house to man on FBI's most wanted list',,neutral
Net migration numbers are down - how have the rules changed?,,curiosity
Black Friday: How to spot a deal and not get ripped off,,neutral
"Missed opportunity to stop Lucy Letby, medical boss says",,disappointment
Paris's Gothic jewel Notre-Dame to reopen five years after fire,,neutral
Romania orders election recount after TikTok bias claims,,neutral
Typhoo Tea falls into administration as sales slide,,neutral
Police given misconduct notices over girl's M5 death,,neutral
"Widow, 92, dines at castle each week for 37 years",,neutral
Jay Slater's family stop donations on fundraiser,,neutral
Starmer's Migration Mission,,neutral
The Assisted Dying Debate,,neutral
Amorim enjoys 'special' first Man Utd win despite 'anxiety',,joy
Verstappen 'should start doing comedy' - Norris,,neutral
Lions deny Bears on Thanksgiving for 10th straight win,,neutral
'Missed opportunity' to stop Letby - medical boss,,neutral
Voters to take to the polls in Irish general election,,neutral
All Scottish pensioners to get winter fuel payment,,neutral
Price of tattoos 'will rise' as new safety rules begin,,neutral
MPs back bill to allow assisted dying after emotional debate,,neutral
Assisted dying bill: Find out how your MP voted,,neutral
"Gargoyles, stained glass and the spire: How Notre-Dame was restored",,neutral
Rupert Grint to pay £1.8m after losing tax battle,,neutral
"Millions to see mortgage costs rise, says Bank",,neutral
"'I watched porn morning, noon and night'",,neutral
Police hunt killer of young mother killed in e-bike hit and run,,neutral
"Tight three-way race in Irish general election, RTÉ exit poll suggests",,neutral
Syrian rebels take control in parts of Aleppo - reports,,neutral
Met Police apologises to honeytrap victims over email,,neutral
Man jailed for murdering brother-in-law in shooting spree,,neutral
Buckingham Palace curtains in your home for Christmas?,,curiosity
"Chris Mason: A momentous day, whatever happens next",,neutral
Watch: The personal stories told in the Commons,,neutral
How the proposed law would work and who it would apply to,,curiosity
Bill must pass many hurdles before it becomes law,,neutral
'It's part of my DNA': Charli XCX and the fight to save club culture,,neutral
Trump top spy pick faces fresh scrutiny over Syria visit and Russia comments,,neutral
Ukraine fights to keep the lights on as Russia hammers power plants,,neutral
Chris Mason: Louise Haigh's swift resignation prompts questions,,neutral
Weekly quiz: Which box office spell did Wicked break?,,curiosity
'I got quick cash in my account but it was too good to be true',,approval
Letby boss admits 'crass' letter to babies' families,,neutral
Mauritius asks for review of Chagos Islands deal with UK,,neutral
Janey Godley begins 'final tour' before funeral,,neutral
Van Nistelrooy named Leicester City manager,,neutral
Inside the £4m mansion Jurgen Klopp called home,,neutral
Gregg Wallace was 'fascinated by my sex life and made lesbian jokes',,neutral
MPs Vote in Favour of Assisted Dying,,neutral
The Trump Trials... Cases Closed?,,neutral
'Scots did not show best but can raise bar in Finland',,neutral
'Maybe it's destiny' - Amorim on Man Utd job & coaching philosophy,,neutral
What to expect from new Leicester boss Van Nistelrooy,,curiosity
Hamilton says he is 'definitely not fast any more',,neutral
Ditcheva first British woman to win MMA world title as Loughnane beaten,,neutral
UK's first Dignitas widow feels ‘wonderful’ after assisted dying vote,,admiration
"Tight three-way race in Irish general election, RTÉ exit poll suggests",,neutral
Could police have handled Skye shooting differently?,,curiosity
Angry doctors owed thousands refuse to work,,anger
Syrian troops withdraw from Aleppo as rebels advance,,neutral
Who are the rebels seizing control of Syria's second city?,,curiosity
Family 'desperate' as British couple still missing after Red Sea sinking,,neutral
'We voted for assisted dying bill - but still have concerns',,neutral
"Kate sends emotional Christmas message of 'love, not fear'",,neutral
"Irish election 'too close to call', says taoiseach",,neutral
Spain hotel check-in delay fears as new data rules begin,,neutral
World Beekeeping Awards axe honey prize due to fraud,,neutral
"'Rigorous' law firm to lead Gregg Wallace probe, say MasterChef producers",,neutral
"Under chandeliers, Lucy Letby hospital bosses broke their silence",,neutral
Georgia president calls for new elections as protests erupt again,,neutral
'I couldn’t stop watching': Personal stories of how porn obsession takes over lives,,neutral
Bushra Bibi led a protest to free Imran Khan - what happened next is a mystery,,confusion
Thousands visit site of Hassan Nasrallah's assassination ,,neutral
Are mystery drones above US bases in England something sinister?,,curiosity
'It's part of my DNA': Charli XCX and the fight to save club culture,,neutral
Terminally ill people on both sides of assisted dying debate react to vote,,neutral
Why so many games are failing right now - and why others are breakout hits,,curiosity
Janey Godley funeral is colourful comedy send-off,,neutral
Food charity pauses Gaza work after staff killed in Israeli strike,,neutral
"Woman's £1,906 bill over five-minute parking rule",,neutral
Cate Blanchett 'deeply concerned' by AI impact,,caring
Man who found smooth Mars bar gets £2 compensation,,neutral
Tributes paid to Alex Salmond at cathedral service,,neutral
Lockdown DIY linked to landfill's noxious gases,,neutral
Newscast,,neutral
The Trump Trials... Cases Closed?,,neutral
'The impact of defeat is massive' - what to look out for in Liverpool v Man City,,neutral
'Title race on' - how Odegaard & Saka are keeping Arsenal hopes alive,,neutral
Russell promoted to Qatar pole by Verstappen grid penalty,,neutral
Wiegman vowed to experiment - did USA draw show 'evolution'?,,neutral
'No emotion' for Farrell in winning Irish send-off,,neutral
Could police have handled Skye shooting differently?,,curiosity
'Pixelated' mural tackles stigma of breastfeeding,,neutral
Inside the £4m mansion Jurgen Klopp called home,,neutral
Families' 15-year wait for mine deaths inquest,,neutral
Gregg Wallace accusers criticise his response to allegations,,neutral
Bowen: Syria's rebel offensive is astonishing - but don't write off Assad,,surprise
"‘Italian’ purees likely to contain Chinese forced-labour tomatoes, BBC finds",,neutral
Georgia's PM hits back as protests and resignations intensify,,neutral
Former world snooker champion Griffiths dies aged 77,,neutral
'People want nothing to do with him': How Ireland turned away from Conor McGregor,,neutral
She fled Israeli bombing four times. It still found her,,neutral
British man killed on holiday in Turkey lift-shaft incident,,neutral
Losing your mind looking at memes? The dictionary has a word for that,,neutral
Man arrested on suspicion of rape at Groucho Club,,neutral
Majority of seats declared in close Irish general election,,neutral
Serie A footballer in intensive care after collapsing on pitch,,neutral
Elton John unable to 'watch own musical' after eyesight loss,,sadness
Belgium's sex workers get maternity leave and pensions under world-first law,,neutral
'They threw her body into the ocean' - woman dies on boat headed for French island,,neutral
Forgotten street found behind a hidden library door,,neutral
'I spent 30 years as a therapist to killers - and no-one is born evil',,neutral
Blind dates to find mates: Making friends with strangers over dinner,,neutral
"'Our estate pays £9,000 a year for grass to be cut'",,neutral
Global plastic talks collapse as oil states rebel,,neutral
Homes evacuated after sinkhole opens on estate,,neutral
Snoop Dogg helps Kai Cenat reclaim Twitch subscriber record,,neutral
Woman searching for birth parents found dad was a friend on Facebook,,neutral
Mother's 'terrible journey' to bedside of British woman poisoned in Laos,,neutral
Former My Chemical Romance drummer dies aged 44,,sadness
UN suspends aid deliveries through main Gaza crossing,,neutral
Newscast,,neutral
How Liverpool mixed best of Klopp & Slot to beat Man City,,neutral
Trump beats Hawkins to win second UK Championship crown,,neutral
Verstappen has 'lost all respect' for Russell,,neutral
Former world snooker champion Griffiths dies aged 77,,neutral
'I didn't expect that at Anfield' - Guardiola on 'sacked in the morning' chants,,neutral
Who has made Troy's Premier League team of the week?,,curiosity
Fiorentina's Bove in intensive care after collapse on pitch,,neutral
Holidaymaker killed in Turkey lift-shaft incident,,neutral
Scotland's Budget must not cap council tax rises - Cosla,,neutral
Students upset by sea deaths help rescue migrants,,neutral
Final seats to be filled in Irish general election,,neutral
French government teeters after PM Barnier forces through budget,,neutral
Months of political instability loom as French government nears collapse,,neutral
Gregg Wallace apologises for 'any offence caused' by middle-class women comments,,neutral
Queen Camilla to miss start of Qatari state visit after chest infection,,neutral
Ukraine’s exhausted troops in Russia told to cling on and wait for Trump,,neutral
Fianna Fáil emerges as largest party in Irish election,,neutral
Vietnamese tycoon in race to raise $9bn to avoid execution,,neutral
Covid corruption commissioner starts fraud probe,,neutral
Tragedy chanting arrests at Liverpool v Man City ,,neutral
Israel strikes Lebanon as Hezbollah targets military post,,neutral
Starmer: UK does not need to choose between US and EU,,neutral
Georgia’s moment of truth: Protesters demand Western path not Russian past,,neutral
BBC hears of horror and hunger in rare visit to Darfur massacre town,,fear
What is happening in north-western Syria and why now?,,curiosity
'I thought kidney failure meant I'd never be a mum',,neutral
"I've been treated like dung, says oldest Post Office victim",,neutral
Jacob Rees-Mogg: Ex-politician says reality show a 'calculated risk',,neutral
Should you pay more for parking if you have a big car?,,curiosity
Who is new Cabinet Secretary Chris Wormald?,,curiosity
"Michelin chef 'gutted' at theft of 2,500 pies",,neutral
"Huge sinkhole is still growing, council leader warns",,neutral
"Small boat crossings hit 20,000 since Labour won election",,neutral
Man jailed for murdering girlfriend he set on fire,,neutral
Neighbours' Harold Bishop actor reveals he has terminal cancer,,neutral
Australian police seize $500m of cocaine after boat breaks down,,neutral
Gregg Wallace apologises for 'middle-class women' comment,,neutral
Americanswers… on 5 Live! Why has Joe Biden pardoned his son?,,curiosity
Arsenal host holders Man Utd in FA Cup third round,,neutral
'It hurt I had to leave' - Van Nistelrooy reveals Man Utd pain,,sadness
Six Nations rebrand gets mixed reception from fans,,disapproval
Dundee derby & Celtic v Kilmarnock in Scottish Cup ,,neutral
Sutton's predictions v The Slow Readers Club bassist James Ryan,,neutral
Morsy did not wear rainbow armband because of 'religious beliefs',,neutral
Life term for boy who shot mum dead through door,,neutral
NHS Grampian was warned of 'intolerable risk',,neutral
"Back budget or Wales could lose £1bn, FM warns",,neutral
"Teacher's pay rise simply impossible, says minister",,neutral
'Groping' and 'touching': Fresh claims against Gregg Wallace,,neutral
Why these Israeli men volunteered to fight - but now refuse to return to Gaza,,curiosity
Analysis: Israeli and Hezbollah strikes test limits of ceasefire,,neutral
King hails Qatar's peace efforts - and banquet menu revealed,,neutral
'I worry every second': Mother of only British hostage in Gaza fears for her life,,fear
Art showcasing Scottish Sikh community wins Turner Prize,,neutral
Killer in femicide that shocked Italy sentenced to life in jail,,surprise
'Pickling a cucumber changed my life' says TikTok award winner,,neutral
Three rail firms to be renationalised next year,,neutral
British band Sports Team robbed at gunpoint on US tour,,neutral
Thomas Kingston took life after reaction to medication,,neutral
Crowds celebrate as South Korean president withdraws troops,,joy
'It feels like a coup d'état' - martial law chaos sparks worry in South Korea,,fear
Watch: Protesters take to the streets outside parliament,,neutral
Why has this happened now?,,curiosity
Why has an additive called Bovaer sparked controversy online?,,curiosity
Sharon Stone’s tearful message to her younger self,,neutral
"AI won't replace humans making games, PlayStation boss says",,neutral
Watch: How Jaguar has shifted gears with its concept car,,neutral
"Inside Aleppo: Family reunions, nervousness at rebel rule and fear of war",,nervousness
Why is vintage audio equipment booming?,,curiosity
"Russian spies surveilled Ukrainian troops at US base, trial hears",,neutral
"Massive Elon Musk donation news to me, says Farage",,neutral
"Top chef's 2,500 pies 'a write off' after van theft",,neutral
Stalking victims to get right to know abuser's identity,,neutral
US woman admits drink-driving in crash that killed bride on wedding day,,neutral
Migrants brought to UK from remote military island,,neutral
"Letby was face of hospital campaign, inquiry told",,neutral
Martial Law in South Korea,,neutral
Who are the rebels threatening Assad's grip on Syria?,,curiosity
Scotland's golden generation miss their golden hour,,neutral
Is Clinton pushing for England start at Euro 2025?,,curiosity
FIA seeks rule changes after president allegations,,neutral
Highlights: Wales make history in Dublin,,neutral
Gang jailed over £200m of cocaine in banana boxes,,neutral
Scottish Budget presents huge challenges for SNP,,neutral
Celebrations as Wales make history qualifying for Euros,,neutral
School tells Muslim girls it’s ‘not safe’ for them,,neutral
